
FILE: src/Admin/InsightDashboard.php
Line 	Column 	Type 	Code 	Message
1462 	17 	WARNING 	WordPress.DB.DirectDatabaseQuery.DirectQuery 	Use of a direct database call is discouraged.
1462 	17 	WARNING 	WordPress.DB.DirectDatabaseQuery.NoCaching 	Direct database call without caching detected. Consider using wp_cache_get() / wp_cache_set() or wp_cache_delete().
1656 	21 	WARNING 	WordPress.DB.DirectDatabaseQuery.DirectQuery 	Use of a direct database call is discouraged.
1656 	21 	WARNING 	WordPress.DB.DirectDatabaseQuery.NoCaching 	Direct database call without caching detected. Consider using wp_cache_get() / wp_cache_set() or wp_cache_delete().
1808 	24 	WARNING 	WordPress.DB.DirectDatabaseQuery.DirectQuery 	Use of a direct database call is discouraged.
1808 	24 	WARNING 	WordPress.DB.DirectDatabaseQuery.NoCaching 	Direct database call without caching detected. Consider using wp_cache_get() / wp_cache_set() or wp_cache_delete().
1811 	24 	WARNING 	WordPress.DB.DirectDatabaseQuery.DirectQuery 	Use of a direct database call is discouraged.
1811 	24 	WARNING 	WordPress.DB.DirectDatabaseQuery.NoCaching 	Direct database call without caching detected. Consider using wp_cache_get() / wp_cache_set() or wp_cache_delete().
1875 	28 	WARNING 	WordPress.DB.DirectDatabaseQuery.DirectQuery 	Use of a direct database call is discouraged.
1875 	28 	WARNING 	WordPress.DB.DirectDatabaseQuery.NoCaching 	Direct database call without caching detected. Consider using wp_cache_get() / wp_cache_set() or wp_cache_delete().
1878 	28 	WARNING 	WordPress.DB.DirectDatabaseQuery.DirectQuery 	Use of a direct database call is discouraged.
1878 	28 	WARNING 	WordPress.DB.DirectDatabaseQuery.NoCaching 	Direct database call without caching detected. Consider using wp_cache_get() / wp_cache_set() or wp_cache_delete().
1920 	22 	WARNING 	WordPress.DB.DirectDatabaseQuery.DirectQuery 	Use of a direct database call is discouraged.
1920 	22 	WARNING 	WordPress.DB.DirectDatabaseQuery.NoCaching 	Direct database call without caching detected. Consider using wp_cache_get() / wp_cache_set() or wp_cache_delete().
1923 	22 	WARNING 	WordPress.DB.DirectDatabaseQuery.DirectQuery 	Use of a direct database call is discouraged.
1923 	22 	WARNING 	WordPress.DB.DirectDatabaseQuery.NoCaching 	Direct database call without caching detected. Consider using wp_cache_get() / wp_cache_set() or wp_cache_delete().
